source,destination,timestamp,reporter,value
frontend,adservice,1739227960,destination,82740
frontend,cartservice,1739227960,destination,200100
frontend,checkoutservice,1739227960,destination,10170
frontend,currencyservice,1739227960,destination,587624
frontend,productcatalogservice,1739227960,destination,837001
frontend,recommendationservice,1739227960,destination,120483
frontend,shippingservice,1739227960,destination,58260
recommendationservice,productcatalogservice,1739227960,destination,122336
unknown,frontend,1739227960,destination,233918
checkoutservice,cartservice,1739228020,destination,17829
checkoutservice,currencyservice,1739228020,destination,18085
checkoutservice,emailservice,1739228020,destination,8823
checkoutservice,paymentservice,1739228020,destination,8850
checkoutservice,productcatalogservice,1739228020,destination,9412
checkoutservice,shippingservice,1739228020,destination,17697
frontend,adservice,1739228020,destination,84074
frontend,cartservice,1739228020,destination,203299
frontend,checkoutservice,1739228020,destination,10316
frontend,currencyservice,1739228020,destination,597104
frontend,productcatalogservice,1739228020,destination,849987
frontend,recommendationservice,1739228020,destination,122500
frontend,shippingservice,1739228020,destination,59197
recommendationservice,productcatalogservice,1739228020,destination,124284
unknown,frontend,1739228020,destination,237265
checkoutservice,cartservice,1739228080,destination,18117
checkoutservice,currencyservice,1739228080,destination,18380
checkoutservice,emailservice,1739228080,destination,8965
checkoutservice,paymentservice,1739228080,destination,8997
checkoutservice,productcatalogservice,1739228080,destination,9573
checkoutservice,shippingservice,1739228080,destination,17990
frontend,adservice,1739228080,destination,85453
frontend,cartservice,1739228080,destination,206575
frontend,checkoutservice,1739228080,destination,10463
frontend,currencyservice,1739228080,destination,606513
frontend,productcatalogservice,1739228080,destination,863320
frontend,recommendationservice,1739228080,destination,124464
frontend,shippingservice,1739228080,destination,60140
recommendationservice,productcatalogservice,1739228080,destination,126291
unknown,frontend,1739228080,destination,240699
checkoutservice,cartservice,1739228140,destination,18399
checkoutservice,currencyservice,1739228140,destination,18689
checkoutservice,emailservice,1739228140,destination,9111
checkoutservice,paymentservice,1739228140,destination,9140
checkoutservice,productcatalogservice,1739228140,destination,9721
checkoutservice,shippingservice,1739228140,destination,18276
frontend,adservice,1739228140,destination,86784
frontend,cartservice,1739228140,destination,209805
frontend,checkoutservice,1739228140,destination,10603
frontend,currencyservice,1739228140,destination,616128
frontend,productcatalogservice,1739228140,destination,876702
frontend,recommendationservice,1739228140,destination,126488
frontend,shippingservice,1739228140,destination,61095
recommendationservice,productcatalogservice,1739228140,destination,128314
unknown,frontend,1739228140,destination,244089
checkoutservice,cartservice,1739228200,destination,18679
checkoutservice,currencyservice,1739228200,destination,18980
checkoutservice,emailservice,1739228200,destination,9250
checkoutservice,paymentservice,1739228200,destination,9276
checkoutservice,productcatalogservice,1739228200,destination,9866
checkoutservice,shippingservice,1739228200,destination,18550
frontend,adservice,1739228200,destination,88155
frontend,cartservice,1739228200,destination,213031
frontend,checkoutservice,1739228200,destination,10743
frontend,currencyservice,1739228200,destination,625215
frontend,productcatalogservice,1739228200,destination,889846
frontend,recommendationservice,1739228200,destination,128497
frontend,shippingservice,1739228200,destination,62044
recommendationservice,productcatalogservice,1739228200,destination,130293
unknown,frontend,1739228200,destination,247464
checkoutservice,cartservice,1739228260,destination,18967
checkoutservice,currencyservice,1739228260,destination,19271
checkoutservice,emailservice,1739228260,destination,9391
checkoutservice,paymentservice,1739228260,destination,9419
checkoutservice,productcatalogservice,1739228260,destination,10019
checkoutservice,shippingservice,1739228260,destination,18834
frontend,adservice,1739228260,destination,89538
frontend,cartservice,1739228260,destination,216311
frontend,checkoutservice,1739228260,destination,10886
frontend,currencyservice,1739228260,destination,634675
frontend,productcatalogservice,1739228260,destination,903216
frontend,recommendationservice,1739228260,destination,130454
frontend,shippingservice,1739228260,destination,62998
recommendationservice,productcatalogservice,1739228260,destination,132314
unknown,frontend,1739228260,destination,250922
checkoutservice,cartservice,1739228320,destination,19243
checkoutservice,currencyservice,1739228320,destination,19566
checkoutservice,emailservice,1739228320,destination,9533
checkoutservice,paymentservice,1739228320,destination,9567
checkoutservice,productcatalogservice,1739228320,destination,10169
checkoutservice,shippingservice,1739228320,destination,19134
frontend,adservice,1739228320,destination,90942
frontend,cartservice,1739228320,destination,219589
frontend,checkoutservice,1739228320,destination,11029
frontend,currencyservice,1739228320,destination,644079
frontend,productcatalogservice,1739228320,destination,916557
frontend,recommendationservice,1739228320,destination,132484
frontend,shippingservice,1739228320,destination,63958
recommendationservice,productcatalogservice,1739228320,destination,134322
unknown,frontend,1739228320,destination,254375
checkoutservice,cartservice,1739228380,destination,19516
checkoutservice,currencyservice,1739228380,destination,19845
checkoutservice,emailservice,1739228380,destination,9674
checkoutservice,paymentservice,1739228380,destination,9701
checkoutservice,productcatalogservice,1739228380,destination,10316
checkoutservice,shippingservice,1739228380,destination,19400
frontend,adservice,1739228380,destination,92279
frontend,cartservice,1739228380,destination,222658
frontend,checkoutservice,1739228380,destination,11164
frontend,currencyservice,1739228380,destination,653605
frontend,productcatalogservice,1739228380,destination,929003
frontend,recommendationservice,1739228380,destination,134469
frontend,shippingservice,1739228380,destination,64838
recommendationservice,productcatalogservice,1739228380,destination,136194
unknown,frontend,1739228380,destination,257562
checkoutservice,cartservice,1739228440,destination,19803
checkoutservice,currencyservice,1739228440,destination,20133
checkoutservice,emailservice,1739228440,destination,9812
checkoutservice,paymentservice,1739228440,destination,9843
checkoutservice,productcatalogservice,1739228440,destination,10472
checkoutservice,shippingservice,1739228440,destination,19682
frontend,adservice,1739228440,destination,93576
frontend,cartservice,1739228440,destination,225863
frontend,checkoutservice,1739228440,destination,11310
frontend,currencyservice,1739228440,destination,662687
frontend,productcatalogservice,1739228440,destination,942046
frontend,recommendationservice,1739228440,destination,136366
frontend,shippingservice,1739228440,destination,65790
recommendationservice,productcatalogservice,1739228440,destination,138156
unknown,frontend,1739228440,destination,260934
checkoutservice,cartservice,1739228500,destination,20077
checkoutservice,currencyservice,1739228500,destination,20434
checkoutservice,emailservice,1739228500,destination,9950
checkoutservice,paymentservice,1739228500,destination,9983
checkoutservice,productcatalogservice,1739228500,destination,10610
checkoutservice,shippingservice,1739228500,destination,19962
frontend,adservice,1739228500,destination,94914
frontend,cartservice,1739228500,destination,228968
frontend,checkoutservice,1739228500,destination,11444
frontend,currencyservice,1739228500,destination,671954
frontend,productcatalogservice,1739228500,destination,954663
frontend,recommendationservice,1739228500,destination,138332
frontend,shippingservice,1739228500,destination,66728
recommendationservice,productcatalogservice,1739228500,destination,140056
unknown,frontend,1739228500,destination,264194
checkoutservice,cartservice,1739228560,destination,20345
